image,config,n_components,n_gt_groups,n_pred_groups,port_correct_rate,fp_rate,fn_rate,group_accuracy,comp_neighbor_accuracy
C158_D2_P1,Ours,7,6,2,0.06666666666666667,0.5,0.9333333333333333,0.0,0.0
C158_D2_P1,Baseline,7,6,2,0.13333333333333333,0.7142857142857143,0.8666666666666667,0.0,0.0
C158_D2_P1,w/o_Sobel,7,6,2,0.06666666666666667,0.5,0.9333333333333333,0.0,0.0
C158_D2_P1,w/_Skeleton,7,6,2,0.06666666666666667,0.5,0.9333333333333333,0.0,0.0
C158_D2_P1,CCL,7,6,1,0.06666666666666667,0.0,0.9333333333333333,0.0,0.0
C161_D1_P1,Ours,24,15,10,0.136986301369863,0.7674418604651163,0.863013698630137,0.0,0.041666666666666664
C161_D1_P1,Baseline,24,15,7,0.1506849315068493,0.9153846153846154,0.8493150684931506,0.0,0.041666666666666664
C161_D1_P1,w/o_Sobel,24,15,10,0.136986301369863,0.7674418604651163,0.863013698630137,0.0,0.041666666666666664
C161_D1_P1,w/_Skeleton,24,15,10,0.136986301369863,0.7674418604651163,0.863013698630137,0.0,0.041666666666666664
C161_D1_P1,CCL,24,15,8,0.1780821917808219,0.675,0.821917808219178,0.0,0.041666666666666664
C16_D1_P2,Ours,6,5,3,0.5555555555555556,0.5,0.4444444444444444,0.2,0.16666666666666666
C16_D1_P2,Baseline,6,5,3,0.5555555555555556,0.2857142857142857,0.4444444444444444,0.4,0.3333333333333333
C16_D1_P2,w/o_Sobel,6,5,3,0.5555555555555556,0.5,0.4444444444444444,0.2,0.16666666666666666
C16_D1_P2,w/_Skeleton,6,5,3,0.5555555555555556,0.5,0.4444444444444444,0.2,0.16666666666666666
C16_D1_P2,CCL,6,5,1,0.3333333333333333,0.7,0.6666666666666666,0.0,0.0
C16_D1_P3,Ours,6,5,2,0.2222222222222222,0.8181818181818182,0.7777777777777778,0.0,0.0
C16_D1_P3,Baseline,6,5,2,0.3333333333333333,0.7692307692307693,0.6666666666666666,0.0,0.5
C16_D1_P3,w/o_Sobel,6,5,2,0.2222222222222222,0.8181818181818182,0.7777777777777778,0.0,0.0
C16_D1_P3,w/_Skeleton,6,5,2,0.2222222222222222,0.8181818181818182,0.7777777777777778,0.0,0.0
C16_D1_P3,CCL,6,5,1,0.1111111111111111,0.9,0.8888888888888888,0.0,0.0
C195_D1_P3,Ours,19,12,10,0.3,0.5384615384615384,0.7,0.25,0.21052631578947367
C195_D1_P3,Baseline,19,12,6,0.2833333333333333,0.8671875,0.7166666666666667,0.08333333333333333,0.0
C195_D1_P3,w/o_Sobel,19,12,10,0.3,0.5384615384615384,0.7,0.25,0.21052631578947367
C195_D1_P3,w/_Skeleton,19,12,10,0.3,0.5384615384615384,0.7,0.25,0.21052631578947367
C195_D1_P3,CCL,19,12,1,0.3,0.9347826086956522,0.7,0.0,0.0
C195_D2_P1,Ours,19,12,8,0.2,0.625,0.8,0.16666666666666666,0.05263157894736842
C195_D2_P1,Baseline,19,12,9,0.2,0.6470588235294118,0.8,0.08333333333333333,0.0
C195_D2_P1,w/o_Sobel,19,12,8,0.2,0.625,0.8,0.16666666666666666,0.05263157894736842
C195_D2_P1,w/_Skeleton,19,12,8,0.2,0.625,0.8,0.16666666666666666,0.05263157894736842
C195_D2_P1,CCL,19,12,1,0.25,0.935064935064935,0.75,0.0,0.0
C199_D1_P1,Ours,14,9,6,0.1891891891891892,0.7941176470588235,0.8108108108108109,0.1111111111111111,0.21428571428571427
C199_D1_P1,Baseline,14,9,6,0.40540540540540543,0.6153846153846154,0.5945945945945946,0.2222222222222222,0.07142857142857142
C199_D1_P1,w/o_Sobel,14,9,6,0.1891891891891892,0.7941176470588235,0.8108108108108109,0.1111111111111111,0.21428571428571427
C199_D1_P1,w/_Skeleton,14,9,6,0.1891891891891892,0.7941176470588235,0.8108108108108109,0.1111111111111111,0.21428571428571427
C199_D1_P1,CCL,14,9,5,0.24324324324324326,0.35714285714285715,0.7567567567567568,0.1111111111111111,0.0
C199_D2_P1,Ours,14,10,7,0.2631578947368421,0.5,0.7368421052631579,0.1,0.0
C199_D2_P1,Baseline,14,10,5,0.34210526315789475,0.6388888888888888,0.6578947368421053,0.1,0.14285714285714285
C199_D2_P1,w/o_Sobel,14,10,7,0.2631578947368421,0.5,0.7368421052631579,0.1,0.0
C199_D2_P1,w/_Skeleton,14,10,7,0.2631578947368421,0.5,0.7368421052631579,0.1,0.0
C199_D2_P1,CCL,14,10,1,0.3157894736842105,0.9117647058823529,0.6842105263157895,0.0,0.0
C19_D1_P2,Ours,12,5,4,0.16279069767441862,0.7741935483870968,0.8372093023255814,0.0,0.0
